kab_code,balita,lansia,pertanian,merokok,no_access_food,hunian_tak_layak,persen_desa_laut,persen_kel_sungai,persen_disabilitas
1372,8.76699484294421,4.594467885607126,3.375527426160337,19.64369432723863,2.255639097744361,0.9398496240601504,0,1.92,0.31
1373,8.555657773689052,5.381784728610856,9.521619135234593,18.629254829806808,2.2388059701492535,1.4925373134328357,0,0.21,0.52
1374,8.089409260244812,5.694518360830228,4.044704630122406,20.223523150612028,10.8,0.4,0,2.62,0.29
1375,7.512690355329949,5.380710659898477,1.4213197969543148,18.47715736040609,4.571428571428571,0.5714285714285714,0,0.18,0.28
1376,7.884972170686456,6.307977736549166,7.838589981447125,21.753246753246753,6.8645640074211505,0,0,0.23,0.31
1377,8.469475494411007,6.7927773000859855,6.0189165950128976,17.540842648323302,10.313075506445673,0,19.72,0.36,0.62
1401,8.426483233018056,4.299226139294927,20.894239036973342,20.55030094582975,8.032786885245901,1.639344262295082,0,0.78,0.44
1402,9.261477045908183,3.153692614770459,22.195608782435137,21.077844311377245,7.587253414264036,3.9453717754172986,0,2.53,0.33
1403,8.176795580110497,4.051565377532228,26.85082872928177,21.952117863720073,11.80371352785146,6.23342175066313,13.56,8.14,0.32
1404,9.213208316347329,1.7529555646147574,22.17692621280065,22.013860578883,11.282843894899536,2.936630602782071,8.47,0.77,0.17
1405,8.513238289205702,3.0142566191446027,16.130346232179228,19.30753564154786,6.481481481481481,0.15432098765432098,7.63,1.63,0.2
1406,8.594270486342438,2.2318454363757496,19.653564290473017,21.319120586275815,7.830551989730424,0,0,1.21,0.31
1407,8.467309753483388,2.465166130760986,23.11539835655591,22.829581993569132,7.317073170731707,0.6775067750677506,0,1.82,0.27
1408,8.757267441860463,3.7427325581395343,17.47819767441861,20.13081395348837,5.2781740370898715,0.9985734664764622,49.03,0.2,0.22
1409,8.514305411926921,2.24060668734919,21.854532919682867,19.958634953464323,11.253561253561251,3.8461538461538463,14.14,1.77,0.3
1410,8.672480620155039,4.748062015503876,22.916666666666664,21.899224806201552,20.0354609929078,4.964539007092198,80.58,1.07,0.49
1471,8.60250494396836,3.065260382333553,1.845748187211602,15.062623599208964,4.3478260869565215,0.4968944099378882,0,0.08,0.08
1473,10.38599283724632,2.745722244329487,7.361719060883407,20.374054914444887,11.001642036124796,0.3284072249589491,45.45,0.5,0.15
1501,8.300395256916996,5.7312252964426875,31.027667984189723,22.18379446640316,5.592105263157895,0.8223684210526315,0,2.05,0.65
1502,8.751099384344766,3.605980650835531,28.45206684256816,21.767810026385227,11.3323124042879,1.6845329249617151,0,3.08,0.54
1503,9.460616438356166,3.4674657534246576,21.489726027397264,21.575342465753423,6.178861788617886,1.9512195121951224,0,1.43,0.41
1504,9.197816043679126,3.485930281394372,24.8215035699286,22.25955480890382,10.064935064935064,3.7337662337662336,0,4.77,0.42
1505,9.385245901639344,3.155737704918033,22.37704918032787,19.262295081967213,2.591463414634146,0.9146341463414636,0,2.44,0.31
1506,8.02784222737819,5.4292343387471,30.997679814385148,20.97447795823666,5.501618122977346,0.16181229773462785,26.88,10.57,0.42
