idkab;adap_score;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;persen_anggaran_jalan;nmprov;nmkab
3218;45.9587051435619;0.29;19.76;0.5;0.33;0.02;;JAWA BARAT;PANGANDARAN 
3271;51.4979772086458;0.1;17.88;0.01;0.86;0.22;;JAWA BARAT;BOGOR KOTA
3272;48.5016952389032;0.09;36.07;0.08;0.26;0.05;;JAWA BARAT;SUKABUMI KOTA
3273;57.254268117538;0.56;18.22;0.1;1.97;0.09;;JAWA BARAT;BANDUNG KOTA
3274;56.6097640908969;0.19;32.03;0.13;0.86;0.02;;JAWA BARAT;CIREBON KOTA
3275;57.0716953751491;0.13;17.81;0.03;2.86;0.13;3.23;JAWA BARAT;BEKASI KOTA
3276;51.8629231579795;0.0;15.56;;;;;JAWA BARAT;DEPOK KOTA
3277;54.520336837726;0.25;22.54;0.06;1.95;0.23;;JAWA BARAT;CIMAHI KOTA
3278;46.7232979593583;0.15;20.35;0.05;0.87;0.11;1.93;JAWA BARAT;TASIKMALAYA KOTA
3279;50.0299558058881;0.21;28.08;0.1;0.05;0.03;;JAWA BARAT;BANJAR KOTA
3301;41.516925810026;0.18;18.91;0.37;0.23;0.1;;JAWA TENGAH;CILACAP 
3302;46.9983175325202;0.32;19.34;0.16;0.13;0.02;;JAWA TENGAH;BANYUMAS 
3303;42.3220736756168;0.05;17.15;0.31;0.25;0.08;2.57;JAWA TENGAH;PURBALINGGA 
3304;39.4605933005426;0.3;19.57;0.06;0.08;0.01;3.05;JAWA TENGAH;BANJARNEGARA 
3305;44.3133470063359;0.21;17.26;0.46;0.29;0.07;4.23;JAWA TENGAH;KEBUMEN 
3306;43.250852107112;0.24;19.45;0.11;0.43;0.02;;JAWA TENGAH;PURWOREJO 
3307;40.3034456106531;0.46;16.52;0.12;0.32;0.03;;JAWA TENGAH;WONOSOBO 
3308;42.3953469489405;0.08;15.69;0.04;0.41;0.02;;JAWA TENGAH;MAGELANG 
3309;43.1397398694895;0.17;20.24;0.17;0.25;0.07;4.27;JAWA TENGAH;BOYOLALI 
3310;48.0085528538184;0.09;14.31;0.16;0.41;0.07;;JAWA TENGAH;KLATEN 
3311;47.8197916399629;0.05;16.87;0.29;0.52;0.03;6.09;JAWA TENGAH;SUKOHARJO 
3312;43.8011409489249;0.02;19.57;0.24;0.09;0.01;1.88;JAWA TENGAH;WONOGIRI 
3313;46.5918895522702;0.13;18.19;0.06;0.21;0.04;1.92;JAWA TENGAH;KARANGANYAR 
3314;43.4657301014766;0.6;21.5;0.13;0.25;0.02;;JAWA TENGAH;SRAGEN 
3315;43.9499785652871;0.19;16.04;0.35;0.27;0.1;;JAWA TENGAH;GROBOGAN 
3316;41.3213216351514;0.03;15.77;0.13;0.22;0.16;;JAWA TENGAH;BLORA 
3317;43.6434024189939;0.12;15.7;0.19;0.17;0.01;;JAWA TENGAH;REMBANG 
3318;45.7853871771216;0.03;15.52;0.36;0.15;0.0;4.21;JAWA TENGAH;PATI 
3319;46.4931912992498;0.08;21.24;0.18;0.27;0.01;1.03;JAWA TENGAH;KUDUS 
3320;44.6139474112761;0.03;16.18;0.08;0.29;0.14;;JAWA TENGAH;JEPARA 
3321;46.1908035124149;0.49;19.53;0.2;0.09;0.07;;JAWA TENGAH;DEMAK 
3322;46.2469758992183;0.12;20.53;0.28;0.44;0.03;;JAWA TENGAH;SEMARANG 
3323;41.2601702959572;0.14;21.69;0.02;0.29;0.01;;JAWA TENGAH;TEMANGGUNG 
3324;47.6820934973547;0.11;19.29;0.22;0.37;0.13;;JAWA TENGAH;KENDAL 
3325;41.5888266230992;0.05;16.14;0.19;0.16;0.01;;JAWA TENGAH;BATANG 
3326;43.4007682790322;0.06;23.46;0.06;0.17;0.02;;JAWA TENGAH;PEKALONGAN 
3327;40.745865394616;0.12;15.0;0.15;0.21;0.06;;JAWA TENGAH;PEMALANG 
3328;40.4690318165232;0.09;19.09;0.01;0.49;0.17;;JAWA TENGAH;TEGAL 
3329;41.1915095277185;0.1;16.79;0.1;0.19;0.1;;JAWA TENGAH;BREBES 
3371;60.0934994855793;0.1;30.36;0.2;1.06;0.13;2.42;JAWA TENGAH;MAGELANG KOTA
3372;58.7218801990884;0.0;16.94;;;;;JAWA TENGAH;SURAKARTA KOTA
3373;55.0124860532213;0.07;27.3;0.14;0.18;0.15;;JAWA TENGAH;SALATIGA KOTA
3374;54.1196165740219;0.21;16.3;0.07;1.78;0.2;;JAWA TENGAH;SEMARANG KOTA
3375;47.886910514374;0.18;22.18;0.09;0.93;0.18;4.19;JAWA TENGAH;PEKALONGAN KOTA
3376;48.9590968065702;0.05;25.45;0.05;2.17;0.09;5.65;JAWA TENGAH;TEGAL KOTA
3401;48.2647646979857;0.05;20.26;0.1;0.26;0.05;;DI YOGYAKARTA;KULON PROGO 
3402;50.584839780664;0.2;18.65;0.04;0.61;0.26;2.94;DI YOGYAKARTA;BANTUL 
3403;43.9319482716697;0.14;15.96;0.12;0.23;0.07;;DI YOGYAKARTA;GUNUNG KIDUL 
3404;54.0159325311577;0.25;15.48;0.14;0.51;0.1;;DI YOGYAKARTA;SLEMAN 
3471;62.242112622301;0.23;20.91;0.08;0.87;0.06;;DI YOGYAKARTA;YOGYAKARTA KOTA
3501;42.299277164753;0.07;18.43;0.11;0.41;0.03;;JAWA TIMUR;PACITAN 
3502;44.8177588279686;0.41;15.53;0.37;0.15;0.06;;JAWA TIMUR;PONOROGO 
3503;42.0635389872519;1.01;18.28;0.11;0.19;0.06;;JAWA TIMUR;TRENGGALEK 
3504;45.2090355198241;0.23;24.08;0.06;0.11;0.07;3.59;JAWA TIMUR;TULUNGAGUNG 
3505;44.1489527349471;0.29;17.84;0.28;0.2;0.06;;JAWA TIMUR;BLITAR 
3506;44.2526533931087;0.2;19.87;0.16;0.33;0.11;;JAWA TIMUR;KEDIRI 
3507;42.0597153406029;0.09;16.8;0.04;0.24;0.07;;JAWA TIMUR;MALANG 
3508;41.3038193272401;0.1;18.02;0.2;0.37;0.03;5.42;JAWA TIMUR;LUMAJANG 
3509;40.0461457656555;0.08;16.87;0.04;0.28;0.04;;JAWA TIMUR;JEMBER 
3510;46.3505230161162;0.09;16.77;0.1;0.41;0.12;;JAWA TIMUR;BANYUWANGI 
3511;38.5864002178777;0.14;19.65;0.04;0.14;0.04;2.39;JAWA TIMUR;BONDOWOSO 
3512;39.5228507819834;0.07;18.31;0.08;0.34;0.09;;JAWA TIMUR;SITUBONDO 
3513;40.6312851500403;0.21;16.57;0.17;0.07;0.1;;JAWA TIMUR;PROBOLINGGO 
3514;41.670517054503;0.06;17.24;0.13;0.23;0.05;;JAWA TIMUR;PASURUAN 
3515;52.262726348138;0.06;22.66;0.06;0.83;0.11;;JAWA TIMUR;SIDOARJO 
3516;47.2577066314414;0.07;15.45;0.21;0.2;0.06;;JAWA TIMUR;MOJOKERTO 
3517;48.3620441731255;0.02;23.03;0.1;0.2;0.04;;JAWA TIMUR;JOMBANG 
3518;46.7313112716955;0.13;18.13;0.02;0.25;0.09;;JAWA TIMUR;NGANJUK 
3519;46.3036906573202;1.24;17.2;0.07;0.11;0.09;;JAWA TIMUR;MADIUN 
3520;46.9789904854896;0.07;17.1;0.05;0.14;0.11;;JAWA TIMUR;MAGETAN 
3521;44.3445073276671;0.2;18.91;0.25;0.06;0.09;;JAWA TIMUR;NGAWI 
3522;43.5864636602263;0.14;15.71;0.08;0.17;0.02;;JAWA TIMUR;BOJONEGORO 
3523;43.4440733676762;0.44;16.41;0.33;0.31;0.14;4.61;JAWA TIMUR;TUBAN 
3524;46.6624939104539;0.06;18.82;0.27;0.13;0.07;6.43;JAWA TIMUR;LAMONGAN 
3525;46.9870280524544;0.08;15.06;0.07;0.32;0.07;3.4;JAWA TIMUR;GRESIK 
3526;35.8534807286836;0.05;17.6;0.26;0.22;0.06;;JAWA TIMUR;BANGKALAN 
3527;33.1172440820269;0.07;16.54;0.3;0.25;0.03;;JAWA TIMUR;SAMPANG 
3528;38.6541577478181;0.1;15.23;0.03;0.2;0.09;;JAWA TIMUR;PAMEKASAN 
3529;36.9471640204071;0.04;16.45;0.79;0.09;0.08;;JAWA TIMUR;SUMENEP 
3571;55.1176519304198;0.33;25.19;0.07;1.0;0.06;1.25;JAWA TIMUR;KEDIRI KOTA
3572;59.4320766708168;0.44;29.76;0.09;1.36;0.15;;JAWA TIMUR;BLITAR KOTA
3573;55.9610477393423;0.14;14.44;0.11;1.14;0.04;2.38;JAWA TIMUR;MALANG KOTA
