idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
2102;KEPULAUAN RIAU;BINTAN ;16.64;1.23;0.01;52.1292538673928;47.199396748940025
2103;KEPULAUAN RIAU;NATUNA ;17.87;0.26;0.02;49.9936799220652;43.21233589809115
2104;KEPULAUAN RIAU;LINGGA ;15.98;0.35;0.05;45.7161372124359;42.91204145663441
2105;KEPULAUAN RIAU;KEPULAUAN ANAMBAS ;17.02;0.28;0.02;48.6539472160439;42.92709129349883
2171;KEPULAUAN RIAU;B A T A M KOTA;11.46;2.87;0.04;48.7191318493412;52.74213461819687
2172;KEPULAUAN RIAU;TANJUNG PINANG KOTA;21.11;0.81;0.03;54.2472768955736;47.29367676377596
3201;JAWA BARAT;BOGOR ;16.48;0.77;0.1;40.8129039931528;45.31533869461388
3202;JAWA BARAT;SUKABUMI ;17.39;0.31;0.09;39.3967671016761;43.51190827074311
3203;JAWA BARAT;CIANJUR ;24.03;0.22;0.08;36.2876605312313;46.012922504045825
3204;JAWA BARAT;BANDUNG ;19.24;0.65;0.09;44.3733338477593;45.942076882757206
3205;JAWA BARAT;GARUT ;15.73;0.34;0.05;38.4991117949059;42.7532192404762
3206;JAWA BARAT;TASIKMALAYA ;12.75;0.03;0.0;38.8100605215208;39.76132959280546
3208;JAWA BARAT;KUNINGAN ;16.85;0.06;0.03;44.4289409365597;41.853019548063514
3209;JAWA BARAT;CIREBON ;22.31;0.54;0.05;42.9612155991647;46.63526702905968
3210;JAWA BARAT;MAJALENGKA ;26.76;0.13;0.04;43.8122947661136;46.64862612636596
3211;JAWA BARAT;SUMEDANG ;16.85;0.18;0.01;44.1023713925043;42.3396891757386
3212;JAWA BARAT;INDRAMAYU ;19.63;0.64;0.1;42.7900849507113;46.108790503976294
3213;JAWA BARAT;SUBANG ;13.61;0.39;0.04;43.3449406703138;42.002618875918955
3214;JAWA BARAT;PURWAKARTA ;14.64;0.09;0.12;39.5649757568739;41.36509213897516
3215;JAWA BARAT;KARAWANG ;15.99;0.57;0.14;43.5996324597493;44.311877440938034
3216;JAWA BARAT;BEKASI ;14.57;1.47;0.15;47.2025986388466;47.963298105533575
3217;JAWA BARAT;BANDUNG BARAT ;11.28;0.97;0.07;39.4266126808804;43.817456079272674
