idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1771;BENGKULU;BENGKULU KOTA;15.66;0.37;0.13;55.8969946719598;28.56591
1801;LAMPUNG;LAMPUNG BARAT ;17.15;0.23;0.09;42.4404164304592;28.56591
1802;LAMPUNG;TANGGAMUS ;12.63;0.08;0.02;41.7951648320186;28.56591
1803;LAMPUNG;LAMPUNG SELATAN ;16.52;0.04;0.12;41.0980629942983;28.56591
1804;LAMPUNG;LAMPUNG TIMUR ;11.92;0.1;0.05;40.8195861026712;28.56591
1805;LAMPUNG;LAMPUNG TENGAH ;11.32;0.04;0.09;42.2102564875602;28.56591
1806;LAMPUNG;LAMPUNG UTARA ;12.57;0.34;0.06;40.3190015235753;28.56591
1807;LAMPUNG;WAY KANAN ;14.34;0.11;0.07;41.0491120702265;28.56591
1808;LAMPUNG;TULANGBAWANG ;15.62;0.17;0.06;37.5033885359349;28.56591
1809;LAMPUNG;PESAWARAN ;8.99;0.07;0.04;41.0414282937185;28.56591
1810;LAMPUNG;PRINGSEWU ;15.19;0.13;0.14;42.302958648472;28.56591
1811;LAMPUNG;MESUJI ;17.97;0.03;0.03;37.2811444987665;28.56591
1812;LAMPUNG;TULANG BAWANG BARAT ;10.5;0.17;0.07;41.8328441345563;28.56591
1813;LAMPUNG;PESISIR BARAT ;9.38;0.21;0.0;41.4466011574304;28.56591
1871;LAMPUNG;BANDAR LAMPUNG KOTA;14.42;0.05;0.01;51.3414655719251;28.56591
1872;LAMPUNG;METRO KOTA;31.22;0.14;0.03;54.5848717886523;28.56591
1901;KEPULAUAN BANGKA BELITUNG;BANGKA ;17.7;0.6;0.07;45.0484006832202;28.56591
1902;KEPULAUAN BANGKA BELITUNG;BELITUNG ;22.08;0.69;0.13;48.9508612643927;29.9935
1903;KEPULAUAN BANGKA BELITUNG;BANGKA BARAT ;18.23;1.33;0.12;41.5994808484888;29.9935
1904;KEPULAUAN BANGKA BELITUNG;BANGKA TENGAH ;19.02;0.17;0.08;43.6028428938199;28.56591
1905;KEPULAUAN BANGKA BELITUNG;BANGKA SELATAN ;19.03;0.38;0.02;40.3702745032028;28.56591
1906;KEPULAUAN BANGKA BELITUNG;BELITUNG TIMUR ;11.14;0.75;0.13;49.6202524935252;29.9935
1971;KEPULAUAN BANGKA BELITUNG;PANGKALPINANG KOTA;19.35;1.69;0.15;51.3301183292097;29.9935
2101;KEPULAUAN RIAU;KARIMUN ;17.07;0.13;0.04;44.8081812697778;28.56591
2102;KEPULAUAN RIAU;BINTAN ;16.64;1.23;0.01;52.1292538673928;29.9935
2103;KEPULAUAN RIAU;NATUNA ;17.87;0.26;0.02;49.9936799220652;28.56591
2104;KEPULAUAN RIAU;LINGGA ;15.98;0.35;0.05;45.7161372124359;28.56591
2105;KEPULAUAN RIAU;KEPULAUAN ANAMBAS ;17.02;0.28;0.02;48.6539472160439;28.56591
2171;KEPULAUAN RIAU;B A T A M KOTA;11.46;2.87;0.04;48.7191318493412;29.9935
2172;KEPULAUAN RIAU;TANJUNG PINANG KOTA;21.11;0.81;0.03;54.2472768955736;29.9935
3201;JAWA BARAT;BOGOR ;16.48;0.77;0.1;40.8129039931528;29.9935
3202;JAWA BARAT;SUKABUMI ;17.39;0.31;0.09;39.3967671016761;28.56591
3203;JAWA BARAT;CIANJUR ;24.03;0.22;0.08;36.2876605312313;28.56591
