idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
3314;JAWA TENGAH;SRAGEN ;21.5;0.25;0.02;43.4657301014766;43.89883056750691
3315;JAWA TENGAH;GROBOGAN ;16.04;0.27;0.1;43.9499785652871;42.9481967918791
3316;JAWA TENGAH;BLORA ;15.77;0.22;0.16;41.3213216351514;42.42199859702433
3317;JAWA TENGAH;REMBANG ;15.7;0.17;0.01;43.6434024189939;42.488570384759726
3318;JAWA TENGAH;PATI ;15.52;0.15;0.0;45.7853871771216;43.55975869056957
3319;JAWA TENGAH;KUDUS ;21.24;0.27;0.01;46.4931912992498;44.082985690054365
3320;JAWA TENGAH;JEPARA ;16.18;0.29;0.14;44.6139474112761;42.75242828776769
3321;JAWA TENGAH;DEMAK ;19.53;0.09;0.07;46.1908035124149;42.6920082703013
3322;JAWA TENGAH;SEMARANG ;20.53;0.44;0.03;46.2469758992183;44.175269565939864
3323;JAWA TENGAH;TEMANGGUNG ;21.69;0.29;0.01;41.2601702959572;44.082985690054365
3324;JAWA TENGAH;KENDAL ;19.29;0.37;0.13;47.6820934973547;43.45073888146826
3325;JAWA TENGAH;BATANG ;16.14;0.16;0.01;41.5888266230992;42.36553623899321
3326;JAWA TENGAH;PEKALONGAN ;23.46;0.17;0.02;43.4007682790322;44.006125639172936
3327;JAWA TENGAH;PEMALANG ;15.0;0.21;0.06;40.745865394616;42.91885087860381
3328;JAWA TENGAH;TEGAL ;19.09;0.49;0.17;40.4690318165232;44.00130363034465
3329;JAWA TENGAH;BREBES ;16.79;0.19;0.1;41.1915095277185;42.6738955443833
3371;JAWA TENGAH;MAGELANG KOTA;30.36;1.06;0.13;60.0934994855793;55.12579921114731
3373;JAWA TENGAH;SALATIGA KOTA;27.3;0.18;0.15;55.0124860532213;46.67081595532732
3374;JAWA TENGAH;SEMARANG KOTA;16.3;1.78;0.2;54.1196165740219;51.9198785874575
3375;JAWA TENGAH;PEKALONGAN KOTA;22.18;0.93;0.18;47.886910514374;50.55834652792416
3376;JAWA TENGAH;TEGAL KOTA;25.45;2.17;0.09;48.9590968065702;54.13901852457612
3401;DI YOGYAKARTA;KULON PROGO ;20.26;0.26;0.05;48.2647646979857;43.978015409811164
3402;DI YOGYAKARTA;BANTUL ;18.65;0.61;0.26;50.584839780664;46.63556516964229
3403;DI YOGYAKARTA;GUNUNG KIDUL ;15.96;0.23;0.07;43.9319482716697;42.764041669331654
3404;DI YOGYAKARTA;SLEMAN ;15.48;0.51;0.1;54.0159325311577;43.783987855397065
3471;DI YOGYAKARTA;YOGYAKARTA KOTA;20.91;0.87;0.06;62.242112622301;49.584514077220355
3501;JAWA TIMUR;PACITAN ;18.43;0.41;0.03;42.299277164753;43.80230021364911
3502;JAWA TIMUR;PONOROGO ;15.53;0.15;0.06;44.8177588279686;42.42890899984008
3503;JAWA TIMUR;TRENGGALEK ;18.28;0.19;0.06;42.0635389872519;43.09548223722352
3504;JAWA TIMUR;TULUNGAGUNG ;24.08;0.11;0.07;45.2090355198241;44.14464233385156
3505;JAWA TIMUR;BLITAR ;17.84;0.2;0.06;44.1489527349471;43.09548223722352
3506;JAWA TIMUR;KEDIRI ;19.87;0.33;0.11;44.2526533931087;43.61065910579986
3507;JAWA TIMUR;MALANG ;16.8;0.24;0.07;42.0597153406029;42.8533958770376
3508;JAWA TIMUR;LUMAJANG ;18.02;0.37;0.03;41.3038193272401;43.53360008343909
3509;JAWA TIMUR;JEMBER ;16.87;0.28;0.04;40.0461457656555;43.237683582025774
3510;JAWA TIMUR;BANYUWANGI ;16.77;0.41;0.12;46.3505230161162;42.989097597413156
3511;JAWA TIMUR;BONDOWOSO ;19.65;0.14;0.04;38.5864002178777;42.894953785831625
3512;JAWA TIMUR;SITUBONDO ;18.31;0.34;0.09;39.5228507819834;43.53360008343909
3513;JAWA TIMUR;PROBOLINGGO ;16.57;0.07;0.1;40.6312851500403;41.902852099455416
3514;JAWA TIMUR;PASURUAN ;17.24;0.23;0.05;41.670517054503;43.274982569877814
3515;JAWA TIMUR;SIDOARJO ;22.66;0.83;0.11;52.262726348138;48.8938421564501
3516;JAWA TIMUR;MOJOKERTO ;15.45;0.2;0.06;47.2577066314414;42.75288437776743
3517;JAWA TIMUR;JOMBANG ;23.03;0.2;0.04;48.3620441731255;44.06428127227619
3518;JAWA TIMUR;NGANJUK ;18.13;0.25;0.09;46.7313112716955;43.274982569877814
3519;JAWA TIMUR;MADIUN ;17.2;0.11;0.09;46.3036906573202;42.536963960359074
3520;JAWA TIMUR;MAGETAN ;17.1;0.14;0.11;46.9789904854896;42.531761211936036
3521;JAWA TIMUR;NGAWI ;18.91;0.06;0.09;44.3445073276671;42.530027155943245
3522;JAWA TIMUR;BOJONEGORO ;15.71;0.17;0.02;43.5864636602263;42.488570384759726
