idkab;nmprov;nmkab;persen_anggaran_kesehatan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1903;KEPULAUAN BANGKA BELITUNG;BANGKA BARAT ;18.23;1.33;0.12;41.5994808484888;48.864413782284366
1904;KEPULAUAN BANGKA BELITUNG;BANGKA TENGAH ;19.02;0.17;0.08;43.6028428938199;43.52506760908359
1905;KEPULAUAN BANGKA BELITUNG;BANGKA SELATAN ;19.03;0.38;0.02;40.3702745032028;44.18988955141018
1906;KEPULAUAN BANGKA BELITUNG;BELITUNG TIMUR ;11.14;0.75;0.13;49.6202524935252;43.01012374475484
1971;KEPULAUAN BANGKA BELITUNG;PANGKALPINANG KOTA;19.35;1.69;0.15;51.3301183292097;51.22925541025491
2101;KEPULAUAN RIAU;KARIMUN ;17.07;0.13;0.04;44.8081812697778;42.243399378896356
2102;KEPULAUAN RIAU;BINTAN ;16.64;1.23;0.01;52.1292538673928;47.07533615729079
2103;KEPULAUAN RIAU;NATUNA ;17.87;0.26;0.02;49.9936799220652;43.10461183102219
2104;KEPULAUAN RIAU;LINGGA ;15.98;0.35;0.05;45.7161372124359;42.848563921369646
2105;KEPULAUAN RIAU;KEPULAUAN ANAMBAS ;17.02;0.28;0.02;48.6539472160439;42.818561528647
2171;KEPULAUAN RIAU;B A T A M KOTA;11.46;2.87;0.04;48.7191318493412;52.659472109949206
2172;KEPULAUAN RIAU;TANJUNG PINANG KOTA;21.11;0.81;0.03;54.2472768955736;47.20448190480025
3201;JAWA BARAT;BOGOR ;16.48;0.77;0.1;40.8129039931528;45.32913040970533
3202;JAWA BARAT;SUKABUMI ;17.39;0.31;0.09;39.3967671016761;43.51113889356911
3203;JAWA BARAT;CIANJUR ;24.03;0.22;0.08;36.2876605312313;46.003115971300595
3204;JAWA BARAT;BANDUNG ;19.24;0.65;0.09;44.3733338477593;45.943131423257626
3205;JAWA BARAT;GARUT ;15.73;0.34;0.05;38.4991117949059;42.689501822416446
3206;JAWA BARAT;TASIKMALAYA ;12.75;0.03;0.0;38.8100605215208;39.61800165480842
3208;JAWA BARAT;KUNINGAN ;16.85;0.06;0.03;44.4289409365597;41.75963078633234
3209;JAWA BARAT;CIREBON ;22.31;0.54;0.05;42.9612155991647;46.57785173514347
3210;JAWA BARAT;MAJALENGKA ;26.76;0.13;0.04;43.8122947661136;46.58002968091763
3211;JAWA BARAT;SUMEDANG ;16.85;0.18;0.01;44.1023713925043;42.215635972723575
3212;JAWA BARAT;INDRAMAYU ;19.63;0.64;0.1;42.7900849507113;46.125557791315316
3213;JAWA BARAT;SUBANG ;13.61;0.39;0.04;43.3449406703138;41.92154874960212
3214;JAWA BARAT;PURWAKARTA ;14.64;0.09;0.12;39.5649757568739;41.40769355113774
3215;JAWA BARAT;KARAWANG ;15.99;0.57;0.14;43.5996324597493;44.38653879909155
3216;JAWA BARAT;BEKASI ;14.57;1.47;0.15;47.2025986388466;48.05211563343457
3217;JAWA BARAT;BANDUNG BARAT ;11.28;0.97;0.07;39.4266126808804;43.78030338600961
3218;JAWA BARAT;PANGANDARAN ;19.76;0.33;0.02;45.9587051435619;44.280701657057165
3271;JAWA BARAT;BOGOR KOTA;17.88;0.86;0.22;51.4979772086458;47.04106313596894
3272;JAWA BARAT;SUKABUMI KOTA;36.07;0.26;0.05;48.5016952389032;51.41497416878411
3273;JAWA BARAT;BANDUNG KOTA;18.22;1.97;0.09;57.254268117538;51.71413107798443
3274;JAWA BARAT;CIREBON KOTA;32.03;0.86;0.02;56.6097640908969;52.27240696803931
3275;JAWA BARAT;BEKASI KOTA;17.81;2.86;0.13;57.0716953751491;55.94973701426926
3277;JAWA BARAT;CIMAHI KOTA;22.54;1.95;0.23;54.520336837726;54.32404361736697
3278;JAWA BARAT;TASIKMALAYA KOTA;20.35;0.87;0.11;46.7232979593583;47.58794163306722
3279;JAWA BARAT;BANJAR KOTA;28.08;0.05;0.03;50.0299558058881;46.738289623107114
3301;JAWA TENGAH;CILACAP ;18.91;0.23;0.1;41.516925810026;43.86903616955511
3302;JAWA TENGAH;BANYUMAS ;19.34;0.13;0.02;46.9983175325202;43.14917761228175
3303;JAWA TENGAH;PURBALINGGA ;17.15;0.25;0.08;42.3220736756168;43.06559749990198
3304;JAWA TENGAH;BANJARNEGARA ;19.57;0.08;0.01;39.4605933005426;42.96115638428037
3305;JAWA TENGAH;KEBUMEN ;17.26;0.29;0.07;44.3133470063359;43.2484732619851
3306;JAWA TENGAH;PURWOREJO ;19.45;0.43;0.02;43.250852107112;44.61374461266974
3307;JAWA TENGAH;WONOSOBO ;16.52;0.32;0.03;40.3034456106531;42.83856992435766
3308;JAWA TENGAH;MAGELANG ;15.69;0.41;0.02;42.3953469489405;42.836650880749986
3309;JAWA TENGAH;BOYOLALI ;20.24;0.25;0.07;43.1397398694895;44.393420800335804
3310;JAWA TENGAH;KLATEN ;14.31;0.41;0.07;48.0085528538184;42.494375281515765
3311;JAWA TENGAH;SUKOHARJO ;16.87;0.52;0.03;47.8197916399629;43.93876640245182
3312;JAWA TENGAH;WONOGIRI ;19.57;0.09;0.01;43.8011409489249;43.00833431651476
3313;JAWA TENGAH;KARANGANYAR ;18.19;0.21;0.04;46.5918895522702;43.12206390367177
3314;JAWA TENGAH;SRAGEN ;21.5;0.25;0.02;43.4657301014766;44.68199199954499
3315;JAWA TENGAH;GROBOGAN ;16.04;0.27;0.1;43.9499785652871;42.77331766456068
3316;JAWA TENGAH;BLORA ;15.77;0.22;0.16;41.3213216351514;42.74698310459677
3317;JAWA TENGAH;REMBANG ;15.7;0.17;0.01;43.6434024189939;41.65379087358263
3318;JAWA TENGAH;PATI ;15.52;0.15;0.0;45.7853871771216;41.42381340886558
3319;JAWA TENGAH;KUDUS ;21.24;0.27;0.01;46.4931912992498;44.60492333041548
3320;JAWA TENGAH;JEPARA ;16.18;0.29;0.14;44.6139474112761;43.150588663234906
3321;JAWA TENGAH;DEMAK ;19.53;0.09;0.07;46.1908035124149;43.32082285110412
3322;JAWA TENGAH;SEMARANG ;20.53;0.44;0.03;46.2469758992183;45.19932714534014
3323;JAWA TENGAH;TEMANGGUNG ;21.69;0.29;0.01;41.2601702959572;44.90067069497813
3324;JAWA TENGAH;KENDAL ;19.29;0.37;0.13;47.6820934973547;44.864786154881365
3325;JAWA TENGAH;BATANG ;16.14;0.16;0.01;41.5888266230992;41.80352907477335
3326;JAWA TENGAH;PEKALONGAN ;23.46;0.17;0.02;43.4007682790322;45.18174040874538
3327;JAWA TENGAH;PEMALANG ;15.0;0.21;0.06;40.745865394616;41.80455193676115
3328;JAWA TENGAH;TEGAL ;19.09;0.49;0.17;40.4690318165232;45.56167400916191
3329;JAWA TENGAH;BREBES ;16.79;0.19;0.1;41.1915095277185;42.731546706841996
3371;JAWA TENGAH;MAGELANG KOTA;30.36;1.06;0.13;60.0934994855793;53.07429438136345
3373;JAWA TENGAH;SALATIGA KOTA;27.3;0.18;0.15;55.0124860532213;47.663304144520225
3374;JAWA TENGAH;SEMARANG KOTA;16.3;1.78;0.2;54.1196165740219;50.56419496744852
3375;JAWA TENGAH;PEKALONGAN KOTA;22.18;0.93;0.18;47.886910514374;49.07545632833038
3376;JAWA TENGAH;TEGAL KOTA;25.45;2.17;0.09;48.9590968065702;55.89337982418038
3401;DI YOGYAKARTA;KULON PROGO ;20.26;0.26;0.05;48.2647646979857;44.339419465486245
3402;DI YOGYAKARTA;BANTUL ;18.65;0.61;0.26;50.584839780664;46.42647806444604
3403;DI YOGYAKARTA;GUNUNG KIDUL ;15.96;0.23;0.07;43.9319482716697;42.38360800164091
