idkab;nmprov;nmkab;persen_anggaran_bencana;persen_anggaran_kesehatan;persen_anggaran_pangan;persen_anggaran_sampah;persen_anggaran_lh;adap_score;adap_score_hat
1813;LAMPUNG;PESISIR BARAT ;0.04;9.38;0.09;0.21;0.0;41.4466011574304;39.290761287124866
1871;LAMPUNG;BANDAR LAMPUNG KOTA;0.42;14.42;0.02;0.05;0.01;51.3414655719251;40.833947302069554
1872;LAMPUNG;METRO KOTA;0.07;31.22;0.12;0.14;0.03;54.5848717886523;48.69460966653218
1901;KEPULAUAN BANGKA BELITUNG;BANGKA ;0.09;17.7;0.02;0.6;0.07;45.0484006832202;45.2785716258534
1902;KEPULAUAN BANGKA BELITUNG;BELITUNG ;0.23;22.08;0.1;0.69;0.13;48.9508612643927;47.795549551000335
1903;KEPULAUAN BANGKA BELITUNG;BANGKA BARAT ;0.07;18.23;0.13;1.33;0.12;41.5994808484888;48.99564925537873
1904;KEPULAUAN BANGKA BELITUNG;BANGKA TENGAH ;0.5;19.02;0.13;0.17;0.08;43.6028428938199;43.61189795358854
1905;KEPULAUAN BANGKA BELITUNG;BANGKA SELATAN ;0.03;19.03;0.06;0.38;0.02;40.3702745032028;44.49759142358654
1906;KEPULAUAN BANGKA BELITUNG;BELITUNG TIMUR ;0.52;11.14;0.11;0.75;0.13;49.6202524935252;43.151187129241194
1971;KEPULAUAN BANGKA BELITUNG;PANGKALPINANG KOTA;0.49;19.35;0.04;1.69;0.15;51.3301183292097;51.35835274629237
2101;KEPULAUAN RIAU;KARIMUN ;0.06;17.07;0.12;0.13;0.04;44.8081812697778;42.48464311726189
2102;KEPULAUAN RIAU;BINTAN ;0.21;16.64;0.07;1.23;0.01;52.1292538673928;47.23996545670445
2103;KEPULAUAN RIAU;NATUNA ;0.07;17.87;0.18;0.26;0.02;49.9936799220652;43.209532573315705
2104;KEPULAUAN RIAU;LINGGA ;0.09;15.98;0.06;0.35;0.05;45.7161372124359;43.17714872996011
2105;KEPULAUAN RIAU;KEPULAUAN ANAMBAS ;0.07;17.02;0.15;0.28;0.02;48.6539472160439;42.98060131965092
2171;KEPULAUAN RIAU;B A T A M KOTA;0.0;11.46;0.04;2.87;0.04;48.7191318493412;52.834408317374965
2172;KEPULAUAN RIAU;TANJUNG PINANG KOTA;0.77;21.11;0.09;0.81;0.03;54.2472768955736;47.17676188683585
3201;JAWA BARAT;BOGOR ;0.85;16.48;0.12;0.77;0.1;40.8129039931528;45.29448370545944
3202;JAWA BARAT;SUKABUMI ;0.07;17.39;0.18;0.31;0.09;39.3967671016761;43.64674358215132
3203;JAWA BARAT;CIANJUR ;0.77;24.03;0.16;0.22;0.08;36.2876605312313;45.91097602239465
