"","idkab","expo_index","sensi_index","adap_index","hazard_score","adap_score","vul_idx","persen_anggaran_bencana","persen_anggaran_jalan","persen_anggaran_kesehatan","persen_anggaran_pangan","persen_anggaran_sampah","persen_anggaran_lh"
"154","2172",1.31427912240361,10.884476962213,54.2472768955736,6.09937804230831,54.2472768955736,-0.667726651849875,0.77,3.42,21.11,0.09,0.81,0.03
"155","3101",0.213168379765282,14.9177120378113,45.4161059821728,7.56544020878831,45.4161059821728,-0.425225618189993,NA,NA,NA,NA,NA,NA
"156","3171",2.29634418984273,3.44668350546198,59.3031219049252,2.87151384765235,59.3031219049252,-0.902957996390962,NA,NA,NA,NA,NA,NA
"157","3172",1.52853862994602,3.40531963956948,58.1916656244429,2.46692913475775,58.1916656244429,-0.887365700208352,NA,NA,NA,NA,NA,NA
"158","3173",0.414945310935993,3.90565266503757,57.8347957965335,2.16029898798678,57.8347957965335,-0.878455387266741,NA,NA,NA,NA,NA,NA
"159","3174",0.587839190492656,3.3983005745558,59.7228456756907,1.99306988252423,59.7228456756907,-0.923893332621614,NA,NA,NA,NA,NA,NA
"160","3175",0.968205725517316,6.50375510646749,58.566872432581,3.73598041599241,58.566872432581,-0.838856946518885,NA,NA,NA,NA,NA,NA
"161","3201",41.6987817770568,5.75123594967755,40.8129039931528,23.7250088633672,40.8129039931528,-0.225244273142917,0.85,NA,16.48,0.12,0.77,0.1
"162","3202",53.0209669087666,8.73525109478003,39.3967671016761,30.8781090017733,39.3967671016761,-0.0618367662367241,0.07,NA,17.39,0.18,0.31,0.09
"163","3203",22.0636715075154,9.2129281070075,36.2876605312313,15.6382998072614,36.2876605312313,-0.205924053748141,0.77,3.55,24.03,0.16,0.22,0.08
"164","3204",28.2274155236436,5.33137138411984,44.3733338477593,16.7793934538817,44.3733338477593,-0.395955286922409,0.17,NA,19.24,0.19,0.65,0.09
"165","3205",72.3353278479127,8.41075152878684,38.4991117949059,40.3730396883498,38.4991117949059,0.0829389583604173,0.3,NA,15.73,0.3,0.34,0.05
"166","3206",40.3983461408031,8.15866941831897,38.8100605215208,24.278507779561,38.8100605215208,-0.148745079227954,0.11,2,12.75,0.08,0.03,0
"167","3207",37.2870425607706,8.69762725028486,43.2541620541511,22.9923349055277,43.2541620541511,-0.246618469776727,0,NA,14,NA,NA,NA
"168","3208",18.864765675235,7.72881408344435,44.4289409365597,13.2967898793397,44.4289409365597,-0.415559492019608,0.11,NA,16.85,0.19,0.06,0.03
"169","3209",26.352584706349,7.19726033172688,42.9612155991647,16.774922519038,42.9612155991647,-0.345393415243357,0.12,NA,22.31,0.04,0.54,0.05
"170","3210",23.7985770807206,8.09385115947338,43.8122947661136,15.946214120097,43.8122947661136,-0.362384053392065,0.08,NA,26.76,0.08,0.13,0.04
"171","3211",21.8904003037649,8.4900116104,44.1023713925043,15.1902059570825,44.1023713925043,-0.373602470347141,0.1,2.99,16.85,0.19,0.18,0.01
"172","3212",7.36600809490168,9.16752239931484,42.7900849507113,8.26676524710826,42.7900849507113,-0.435326192742933,0.07,NA,19.63,0.35,0.64,0.1
"173","3213",13.3091992892997,8.04196554234802,43.3449406703138,10.6755824158239,43.3449406703138,-0.426765924086568,0.1,NA,13.61,0.04,0.39,0.04
"174","3214",9.94584546260904,5.8042908665848,39.5649757568739,7.87506816459693,39.5649757568739,-0.419345513308251,0.46,NA,14.64,0.05,0.09,0.12
